"","var_pop_tot","PIB_cap_USD","dist_fr_km","disp_alim_kcal_pers_j_totale","disp_alim_prot_g_pers_j_total","ratio_prot_anim_total","tx_urb","cluster"
"Suisse",6.3763402026625,87897.25585,435.4496,3393,92.84,64.2934080137872,0.735969267264842,"4"
"Suriname",5.83381516583095,9402.046543,7198.4481,2766,64.42,45.1257373486495,0.664339446473631,"2"
"Tadjikistan",11.7870631198916,1055.389487,5291.9474,2349,64.46,26.9159168476575,0.255139198158161,"1"
"Tchad",18.2128043343514,1044.401775,4252.9647,2336,77.59,31.808222709112,0.227583090508458,"1"
"Tchéquie",1.54688618976245,19995.745216,883.8036,3257,87.4,57.745995423341,0.732702859378042,"3"
"Thaïlande",2.42523693922819,6168.268616,9453.6737,2739,61.33,43.1925648133051,0.461936894175405,"2"
"Togo",14.3225685551877,720.256705,4752.7516,2439,56.74,15.0511103278111,0.382879574481913,"1"
"Trinité-et-Tobago",2.98681646902909,20143.525527,7224.8657,3005,84.35,52.7682276229994,0.537168788131518,"2"
"Tunisie",5.17088160248377,4222.812667,1483.9868,3401,98.3,28.351983723296,0.673125352245253,"3"
"Turkménistan",8.72429756104775,7304.283049,4575.8693,2847,89.26,39.9395025767421,0.495417765949398,"2"
"Turquie",7.82017490718787,12614.990713,2600.0589,3687,107.12,33.495145631068,0.725809465604569,"3"
"UK",4.25539414976398,53049.375662,343.9342,3683,109.39,63.7352591644574,0.821966317933742,"4"
"Ukraine",-1.88854493792082,4047.744721,2025.7447,3173,92.11,49.3974595592227,0.689928649033653,"3"
"USA",1.47361506918255,16973.651468,6171.7161,3136,84.24,54.1073124406458,0.813498528248394,"3"
"Vanuatu",14.2102499287952,3124.233078,16348.824,2780,67.27,41.9503493384867,0.257844799033647,"2"
"Venezuela (République bolivarienne du)",7.76241511382759,12468.950772,7627.8735,2787,74.34,53.6319612590799,0.879194346470103,"2"
"Viet Nam",5.22843292391502,1886.690194,9206.2969,2805,80.78,38.7224560534786,0.318746708633953,"2"
"Zambie",16.1731653348671,1781.071946,7598.0941,2036,58.54,23.6761188930646,0.39966739789197,"1"
"Zimbabwe",7.84215967803026,1429.998996,7948.0394,2008,45.48,28.4300791556728,0.240570506906436,"1"
