"","Dim.1","Dim.2","Dim.3","Dim.4"
"var_pop_tot",-0.242901929790143,0.966305154492756,-0.00613464954764932,0.0849433162755114
"PIB_cap_USD",0.889730623844198,0.00487946044988754,0.0222083787544832,0.455919286467056
"dist_fr_km",-0.776622209231372,-0.0337405988136708,0.627142482243672,0.0491103154696087
"disp_alim_kcal_pers_j_totale",0.992797372496428,-0.00169401367471989,-0.0171534351989847,-0.118559129309948
"disp_alim_prot_g_pers_j_total",0.994981851540582,-0.0860418851306085,0.0141806741858584,-0.0490593272240855
"ratio_prot_anim_total",0.917241985805569,-0.145389760835398,0.36905863878179,-0.0363961269946959
"tx_urb",0.822185790439798,0.516698059486816,0.158367466212428,-0.178755103331065
